Название,User ID,Тип объекта
Storylining в PowerPoint: создаем историю презентации,2942,Статья
Три лайфхака по решению задач GMAT,2942,Статья
Регистрируйся на бесплатный вебинар по структурному мышлению до 19 ноября,2942,Мероприятие
Как правильно уходить в отпуск и возвращаться из него,2942,Статья
Как студенты влияют на будущее голосовых помощников,2942,Статья
Карьера в предпринимательстве,2942,Статья
Все о работе в Mail.ru Group,2942,Статья
Как победить в RB Global Challenge и начать международную карьеру,2942,Статья
Changellenge >> Cup Moscow 2020,50241,Чемпионат
Changellenge >> Cup Moscow 2020,34379,Чемпионат
Продолжение регистрации на онлайн-хакатон hack&Change от Changellenge >>,45100,
Школа аудита EY,3,Мероприятие
Координатор по работе с ключевыми клиентами,3,Вакансия
Как студенты влияют на будущее голосовых помощников,3,Статья
Финал Ingosight,45432,
Последние дни регистрации на Cup Moscow 2020!,2942,Мероприятие
Крупнейшая ежегодная онлайн-конференция Unilever!,2942,Мероприятие
"""Хотите узнать как оценить эффективность бизнеса по финансовой отчётности?"" Бесплатный вебинар",2942,Мероприятие
"Программа найма в СИБУР ""Первый элемент"" для химиков",48573,Статья
Тест. Пройдете ли вы кейс-интервью?,46073,Статья
Решайся уже: как презентовать выводы на кейс-интервью,46073,Статья
"Как найти работу, на которую захочется ходить",46073,Статья
Стоит ли ехать учиться за границу,46073,Статья
Как правильно уходить в отпуск и возвращаться из него,46073,Статья
Как студенты влияют на будущее голосовых помощников,46073,Статья
Все о работе в Mail.ru Group,46073,Статья
Участник программы развития Future Makers,48279,Вакансия
Стажер-аналитик,45719,Вакансия
Аналитик,45719,Вакансия
Стажер в отдел практики стратегического консультирования EY-Parthenon,45719,Вакансия
Специалист исследовательского центра,45719,Вакансия
Стажер в отделе исследования рынка потребителей,45719,Вакансия
Координатор в отдел корпоративной стратегии,45719,Вакансия
Консультант в группу CIPS стратегического и операционного консалтинга,45719,Вакансия
Интерн-аналитик в департаменте стратегического консалтинга,45719,Вакансия
Management Trainee,45719,Вакансия
Координатор по подбору персонала,45369,Вакансия
Стажер в отдел персонала онлайн проектов,45369,Вакансия
Стажер в группу управления персоналом,45369,Вакансия
Лидерская программа (технические направления),44354,Вакансия
Junior Investment Advisor,34470,Вакансия
Специалист группы повышения эффективности бизнеса,33462,Вакансия
Стажер отдела финансового контроллинга,33462,Вакансия
Стажер в финансах,33462,Вакансия
"Стажер в группу актуарных расчетов, аудит",33462,Вакансия
Инженер-разработчик PL/SQL,33462,Вакансия
Лидерская программа Unilever Future Leaders Programme (направление Customer Development),33462,Вакансия
Лидерская программа Unilever Future Leaders Programme (направление Supply Chain),33462,Вакансия
Стажер в отделе исследования рынка потребителей,33462,Вакансия
Начинающий специалист аудита в банковском секторе,33462,Вакансия
Mars Internship Experience Program (отдел маркетинга),33462,Вакансия
Координатор отдела аналитики и отчетности,33462,Вакансия
Интерн-аналитик в секторе розничной торговли,33462,Вакансия
Интерн-аналитик в практику технологического консалтинга,33462,Вакансия
Стажер в группу по оказанию услуг в области внутреннего аудита и рисков,33462,Вакансия
Стажер в группу повышения эффективности бизнеса в области розничной торговли и электронной коммерции,33462,Вакансия
Стажер в департамент аудиторских услуг,33462,Вакансия
Интерн-аналитик в нефтегазовом секторе,41434,Вакансия
Последняя неделя регистрации на Supply Chain Cup 2020 от Changellenge >>,2,Чемпионат
Подайте заявку и получите шанс попасть на стажировку в топовую компанию.,3,
Продолжается набор на 15 направлений стажировки Sberseasons в 5 городах России.,3,
"Регистрируйся в личном кабинете, чтобы бесплатно прочитать электронную версию",41297,Чемпионат
"Креативная задача, погружение в страхование и шанс проявить себя — все это ждет тебя на INGOSight 2020",41297,Чемпионат
Junior HR-manager,40214,Вакансия
Research аналитик,40214,Вакансия
Копирайтер,40214,Вакансия
Младший кредитный аналитик,40214,Вакансия
Стажер в группу консультирования по управлению персоналом,40214,Вакансия
Начинающий разработчик в группу по оказанию услуг в секторе недвижимости и строительства,40214,Вакансия
Стажер в группу оказания услуг организациям финансового сектора,40214,Вакансия
Стажер в группу консультирования по вопросам косвенного налогообложения,40214,Вакансия
Интерн-аналитик в секторе розничной торговли,40214,Вакансия
Стажер в группу по оказанию услуг в области внутреннего аудита и рисков,40214,Вакансия
"Регистрируйтесь на вебинар 6 октября ""Как превратить скучное полотно текста в интересную презентацию""",40365,Мероприятие
Интерн-аналитик в секторе розничной торговли,2532,Вакансия
Интерн-аналитик в практику технологического консалтинга,2532,Вакансия
Начинающий специалист аудита,15320,Вакансия
Начинающий специалист / Стажер группы управления строительными проектами,15320,Вакансия
Лидерская программа Unilever Future Leaders Programme (направление Supply Chain),15320,Вакансия
Стажер в группу консультирования по управлению персоналом,15320,Вакансия
Стажер в группу повышения эффективности бизнеса в области розничной торговли и электронной коммерции,15320,Вакансия
Стажер направления по развитию цифровых технологий,15320,Вакансия
Product Owner образовательных продуктов,15320,Вакансия
Специалист по продажам,15320,Вакансия
Специалист по обслуживанию клиентов,15320,Вакансия
4 вакансий в отделе Project Management,15320,Вакансия
Junior HR-manager,15320,Вакансия
Консультант,15320,Вакансия
Младший аккаунт-менеджер,15320,Вакансия
Менеджер проектов,15320,Вакансия
Validation Manager,15320,Вакансия
Intern for Compliance Department,15320,Вакансия
Services Account Manager Intern (Consulting Sales),15320,Вакансия
Working Student Services Marketing MEE Job,15320,Вакансия
Консультант,15320,Вакансия
Старший специалист,15320,Вакансия
Quantitative Analyst,15320,Вакансия
Специалист по управлению категориями (food),15320,Вакансия
Project Manager образовательных продуктов,15320,Вакансия
Специалист по продажам (инвестиционные продукты),15320,Вакансия
Unilever Leadership Internship Programme,15320,Вакансия
Стажер в группу по работе с молодыми специалистами в Департамент по работе с персоналом,15320,Вакансия
Brand Manager,15320,Вакансия
HR-менеджер,15320,Вакансия
Менеджер по развитию продукта валютный контроль для малого бизнеса,15320,Вакансия
Менеджер проектов в команду качества,15320,Вакансия
Аналитик,21030,Вакансия
Решайте кейсы как CEO: классический подход консультантов,933,Статья
Введение в кейс-метод: что такое кейсы и зачем они нужны,933,Статья
Зрить в корень: как найти решение кейса с помощью Issue Tree,933,Статья
Стажер направления по развитию цифровых технологий,30596,Вакансия
Стажер в отделе исследования рынка потребителей,30596,Вакансия
"Регистрируйся в личном кабинете, чтобы бесплатно прочитать электронную версию",6204,Чемпионат
Интерн-аналитик в нефтегазовом секторе,36308,Вакансия
Открыта регистрация на Supply Chain Cup 2020 от Changellenge >>,35646,Чемпионат
Project Manager образовательных продуктов,1743,Вакансия
Research аналитик,1743,Вакансия
Аналитик,1743,Вакансия
Product Owner образовательных продуктов,1743,Вакансия
Разработчик IT-кейсов,1743,Вакансия
Selection аналитик,1743,Вакансия
Программа развития бизнес-лидеров UNIQLO Manager Candidate,33926,Вакансия
Стажер в IT,33926,Вакансия
С места в карьеру: как пройти отбор в крупные компании,2942,Статья
С завода в «Большую четверку»,2942,Статья
"Семь лучших книг, которые научат управлять своими эмоциями",2942,Статья
"10 приложений, которые помогут сконцентрироваться на работе",2942,Статья
Тест. Насколько у вас прокачан эмоциональный интеллект?,2942,Статья
Чисто гипотетически: как проверить свои предположения на кейс-интервью,2942,Статья
Зрить в корень: как найти решение кейса с помощью Issue Tree,2942,Статья
Какая информация нужна для решения кейса и где ее найти,2942,Статья
Кто такие зумеры и во что они превратят рынок труда,2942,Статья
Image recognition key user,33926,Вакансия
"Набор в магистратуру от МФТИ, бизнес-школы СКОЛКОВО и МТС",2942,Мероприятие
KPMG Quiz for students,2942,Мероприятие
"Вебинар от EY ""Audit for beginners""",2942,Мероприятие
PwC Лаборатория аудита,2942,Мероприятие
Стажер в отдел персонала онлайн проектов,33462,Вакансия
Начинающий специалист / Стажер группы управления строительными проектами,33462,Вакансия
Карьера в аналитике и big data,2942,Статья
Research аналитик,32599,Вакансия
Аналитик,32599,Вакансия
Стажер в IT,32569,Вакансия
Стажер в группу технической поддержки клиентов,32569,Вакансия
Консультант начального уровня департамента управления рисками,5467,Вакансия
Стажер департамента управления рисками,5467,Вакансия
Аналитик в группу проектного финансирования и инфраструктуры,5467,Вакансия
Специалист группы повышения эффективности бизнеса,5467,Вакансия
Финансовый аналитик в отдел поддержки маркетинга,5467,Вакансия
Финансовый аналитик по выручке,5467,Вакансия
Бизнес-аналитик в департамент управления рисками,5467,Вакансия
Стажер в группу финансового риск-менеджмента,5467,Вакансия
Первый онлайн-курс для будущих инженеров от Норникеля. Регистрация до 2 августа,2306,Мероприятие
Консультант начального уровня в департамент управления рисками,31379,Вакансия
Intern in IT audit / IT advisory group,30831,Вакансия
"Магистратура «Цифровые технологии в бизнесе» от МФТИ, бизнес-школы СКОЛКОВО и МТС",445,Другое
Подача заявок на совместную магистратуру от МФТИ и бизнес-школы СКОЛКОВО,445,Мероприятие
Аналитик,30689,Вакансия
Аналитик по стратегии,30689,Вакансия
Intern in Market Research,30507,Вакансия
Ассистент аудитора,30507,Вакансия
Специалист группы повышения эффективности бизнеса,2343,Вакансия
Мы запустили новый онлайн-курс по подготовке к GMAT!,29964,Другое
Хотите первым прочитать учебник Changellenge >> по решению кейсов?,29964,Другое
Стажер в E-commerce,27382,Вакансия
Стажер по коммуникациям,27382,Вакансия
Стажер по коммуникациям,29387,Вакансия
"Регистрируйся в личном кабинете, чтобы бесплатно прочитать электронную версию",29138,Чемпионат
Чисто гипотетически: как проверить свои предположения на кейс-интервью,29038,Статья
Зрить в корень: как найти решение кейса с помощью Issue Tree,29038,Статья
Какая информация нужна для решения кейса и где ее найти,29038,Статья
Что такое кейс-интервью и зачем оно нужно,29038,Статья
Стажер в отдел персонала онлайн проектов,27382,Вакансия
Консультант по информационной безопасности,27382,Вакансия
Бизнес-аналитик в департамент управления рисками,27382,Вакансия
Специалист по инвестиционному анализу,27382,Вакансия
Стажер в управлении цепями поставок,27382,Вакансия
Стажер в отдел продаж,27382,Вакансия
Менеджер по развитию продукта Валютный контроль для малого бизнеса,28645,Вакансия
Специалист по планированию и контролю реализации проекта,27793,Вакансия
Стажер в финансовую дирекцию,27320,Вакансия
Стажер в дирекции по маркетингу (бренд М.Видео),27320,Вакансия
Стажер в управлении цепями поставок,27320,Вакансия
Открыта регистрация на оплачиваемую стражировку Nestlé,1823,Мероприятие
Открыта регистрация на оплачиваемую стажировку в BCS Global Markets,1823,Мероприятие
Научитесь быстро обрабатывать большие массивы данных. Регистрируйтесь на бесплатный вебинар 23 июня в 20:00,1823,Мероприятие
Открыта регистрация на Летнюю академию аудита в Санкт-Петербурге от PwC,1823,Мероприятие
Две вакансии в Москве,26769,Вакансия
Стажер направления по развитию цифровых технологий,26769,Вакансия
2 оплачиваемые стажировки: Бизнес-аналитика и E-commerce,26769,Вакансия
Консультант,26731,Вакансия
Консультант по интеграции,26731,Вакансия
Консультант поддержки портальных решений,26731,Вакансия
SAP Consulting Intern,26731,Вакансия
Консультант,26731,Вакансия
Разработчик IT-кейсов,26731,Вакансия
Стажер в отдел рекрутмента,26558,Вакансия
2 ВАКАНСИИ В МОСКВЕ,26558,Вакансия
Unilever Leadership Internship Programme,26558,Вакансия
"Стажировка в Mars для студентов, 9 направлений",26558,Вакансия
Talent Acquisition Specialist,26558,Вакансия
Стажер в отдел маркетинга,26558,Вакансия
Corporate Communications Intern,26558,Вакансия
Стажер (Logistic),26558,Вакансия
Стажер-аналитик,26558,Вакансия
Trade Marketing Intern,26558,Вакансия
Стажер Future Leaders Program,26558,Вакансия
Специалист по продажам и развитию территории,26558,Вакансия
Marketing Intern,26558,Вакансия
Стажер в управлении цепями поставок,26558,Вакансия
Junior Investment Advisor,26659,Вакансия
"Стажер, Группа по сопровождению корпоративных сделок (Финансовый сектор)",9243,Вакансия
Разработка стратегии повышения качества сервиса и увеличения объема продаж в магазинах ОБИ,1553,Кейс
Открыта регистрация на Карьерную онлайн-конференцию Total Mоdern Trade от Changellenge >>,1553,Чемпионат
Открыта регистрация на стажировку Mars Internship Experience Program в продажах,1553,Мероприятие
Карьерный вебинар от эксперта Школы Changellenge >>,1553,Мероприятие
Запуск нового препарата,3,Кейс
Ответственность за здоровье прививается с детства,3,Кейс
UNILEVER «ПЕРЕСМОТР ЦЕЛЕВОЙ АУДИТОРИИ И ПРИВЛЕЧЕНИЕ НОВЫХ СЕГМЕНТОВ»,1823,Кейс
Ответственность за здоровье прививается с детства,80,Кейс
Go Uber: Поиск новых эффективных каналов привлечения водителей,3,Кейс
Последние дни регистрации на первый День Карьеры Changellenge >> в онлайн-формате,3,Чемпионат
Оптимизация процессов 5,3,Кейс
Оптимизация процессов 6,2,Кейс
Аналитик в группу поддержки и аналитики прямых и корпоративных продаж,1226,Вакансия
Консультант - Направление РСБУ,21030,Вакансия
2 ВАКАНСИИ В МОСКВЕ,21030,Вакансия
Специалист по работе с клиентами,21030,Вакансия
Стажер в группу повышения эффективности бизнеса (Strategy&Transformation),21030,Вакансия
Стажер консалтинга в сфере информационных технологий,21030,Вакансия
Менеджер по развитию продукта валютный контроль для малого бизнеса,21030,Вакансия
Стажер,21030,Вакансия
Стажер,21030,Вакансия
4 вакансий в отделе Project Management,21030,Вакансия
Ускоренная программа стажировок от МТС,21030,Вакансия
Менеджер проектов,21030,Вакансия
Стажер в группу оказания услуг в области бизнес рисков,21030,Вакансия
Ассистент отдела маркетинга,21030,Вакансия
Стажер (Logistic),21030,Вакансия
