,position,skills,position_lower
510,Consultant/Intern in Human Resourcing consulting group,,consultant/intern in human resourcing consulting group
511,Аналитик отдела продаж,,аналитик отдела продаж
512,Стажер в налоговую практику,,стажер в налоговую практику
513,Стажер отдела трансфертного ценообразования в Департамент налогов и права,,стажер отдела трансфертного ценообразования в департамент налогов и права
514,Младший специалист исследовательского центра в Департамент внутренней поддержки,,младший специалист исследовательского центра в департамент внутренней поддержки
515,Старший специалист группы анализа внутренней достаточности капитала,,старший специалист группы анализа внутренней достаточности капитала
516,Junior ALM analyst,,junior alm analyst
517,Аналитик по валидации моделей рыночного риска,,аналитик по валидации моделей рыночного риска
518,Младший специалист по управлению операционными рисками,,младший специалист по управлению операционными рисками
519,Специалист по риск-регулированию кредитного риска,,специалист по риск-регулированию кредитного риска
520,Стажер в группу по оказанию услуг таможенного регулирования и международной торговли,,стажер в группу по оказанию услуг таможенного регулирования и международной торговли
521,Специалист в группу обработки и анализа клиентских данных (CDHA),,специалист в группу обработки и анализа клиентских данных (cdha)
522,Стажер/Специалист в группу по сопровождению сделок (Финансовый сектор),,стажер/специалист в группу по сопровождению сделок (финансовый сектор)
523,Стажер в группу трансформации бизнеса,,стажер в группу трансформации бизнеса
524,Стажер в группу услуг в области чистых технологий и устойчивого развития,,стажер в группу услуг в области чистых технологий и устойчивого развития
525,Специалист по производственному планированию,,специалист по производственному планированию
526,Стажер/Младший разработчик в группу Technology (Consulting),,стажер/младший разработчик в группу technology (consulting)
527,"Junior Developer, Real Estate Advisory, Data & Solutions",,"junior developer, real estate advisory, data & solutions"
528,Консультант в группу по оказанию услуг в области налогового и бухгалтерского сопровождения,,консультант в группу по оказанию услуг в области налогового и бухгалтерского сопровождения
529,Стажер в группу операционных рисков и устойчивого развития,,стажер в группу операционных рисков и устойчивого развития
530,Стажер/Младший консультант группы управления финансами и казначейством (Consulting),,стажер/младший консультант группы управления финансами и казначейством (consulting)
531,Академия пивоварения,,академия пивоварения
532,First Line Manager Packaging,,first line manager packaging
533,First Line Manager Brewing,,first line manager brewing
534,Инженер CISCO,,инженер cisco
535,test 29 цц!!!,сбор анализ информация различный сегмент рынок недвижимость подготовка соответствующий аналитический обзор; 111; поиск анализ уточнение рыночный информация объект недвижимость различный сегмент рынок; осмотр подготовка описание объект оценка недвижимость; анализ клиентский информация документ объект оценка; участие подготовка отчет презентация коммерческий предложение,test 29 цц!!!
536,test 29 !!!,сбор анализ информация различный сегмент рынок недвижимость подготовка соответствующий аналитический обзор; 111; поиск анализ уточнение рыночный информация объект недвижимость различный сегмент рынок; осмотр подготовка описание объект оценка недвижимость; анализ клиентский информация документ объект оценка; участие подготовка отчет презентация коммерческий предложение,test 29 !!!
537,Intership in Sales,Английский язык,intership in sales
538,Marketing Internship,Английский язык,marketing internship
539,Стажер/Специалист в группу по управлению IT-рисками,Английский язык,стажер/специалист в группу по управлению it-рисками
540,Стажер в практику стратегии и сделок EY-Parthenon,Английский язык,стажер в практику стратегии и сделок ey-parthenon
541,Младший специалист исследовательского центра филиала,Английский язык,младший специалист исследовательского центра филиала
542,Associate Consultant Intern,Английский язык,associate consultant intern
543,Стажер в группу консультирования по вопросам совершенствования налоговой функции,Английский язык,стажер в группу консультирования по вопросам совершенствования налоговой функции
544,"Стажер/Специалист в отдел оказания консультационных услуг в сфере недвижимости, инфраструктуры",Английский язык,"стажер/специалист в отдел оказания консультационных услуг в сфере недвижимости, инфраструктуры"
545,Стажер/Младший аналитик в группу оценки бизнеса,Английский язык,стажер/младший аналитик в группу оценки бизнеса
546,IT Product Management Internship,Английский язык,it product management internship
547,Sustainability Communications Internship,Английский язык,sustainability communications internship
548,IT Business Analytics Internship,Английский язык,it business analytics internship
549,Consultant in Systems & Process Assurance (RAS),Английский язык,consultant in systems & process assurance (ras)
550,Бизнес-аналитик в команду PwC Technology,Английский язык,бизнес-аналитик в команду pwc technology
551,Бизнес-аналитик,Английский язык,бизнес-аналитик
552,Бизнес-аналитик в департамент управления рисками,Английский язык,бизнес-аналитик в департамент управления рисками
553,Консультант начального уровня по ведению бухгалтерского и налогового учета,Английский язык,консультант начального уровня по ведению бухгалтерского и налогового учета
554,Консультант начального уровня в группу технологий и процессов в бухгалтерском учете и налогообложении,Английский язык,консультант начального уровня в группу технологий и процессов в бухгалтерском учете и налогообложении
555,Intern in Integration & Separation Group (Deal Advisory),Английский язык,intern in integration & separation group (deal advisory)
556,Специалист в группу по оказанию услуг в области трансфертного ценообразования,Английский язык,специалист в группу по оказанию услуг в области трансфертного ценообразования
557,Стажер в IT-аудит/Консультирование в сфере IT,Английский язык,стажер в it-аудит/консультирование в сфере it
558,Intern in Financial Risk Management Group (Banking),Английский язык,intern in financial risk management group (banking)
559,Consultant/Intern in Human Resourcing consulting group,Английский язык,consultant/intern in human resourcing consulting group
560,Стажер в юридическую практику,Английский язык,стажер в юридическую практику
561,Стажер в налоговую практику,Английский язык,стажер в налоговую практику
562,Management Trainee,Английский язык,management trainee
563,Intern in Technology Consulting,Английский язык,intern in technology consulting
564,Младший консультант в группу управления строительными проектами,Английский язык,младший консультант в группу управления строительными проектами
565,Стажер/ Консультант по управлению доступом и внутреннему контролю,Английский язык,стажер/ консультант по управлению доступом и внутреннему контролю
566,Стажер/ Консультант в группу по оказанию услуг в области внутреннего аудита и рисков,Английский язык,стажер/ консультант в группу по оказанию услуг в области внутреннего аудита и рисков
567,Младший консультант группы налогового и бухгалтерского сопровождения,Английский язык,младший консультант группы налогового и бухгалтерского сопровождения
568,"Стажер выходного дня, Академия бизнеса EY",Английский язык,"стажер выходного дня, академия бизнеса ey"
569,Стажер в Академию бизнеса EY (административная поддержка),Английский язык,стажер в академию бизнеса ey (административная поддержка)
570,Стажер/Специалист в группу консультирования по вопросам налогового учета и налоговой отчетности,Английский язык,стажер/специалист в группу консультирования по вопросам налогового учета и налоговой отчетности
571,Стажер/Аналитик в группу оценки основных средств,Английский язык,стажер/аналитик в группу оценки основных средств
572,Стажер службы технического обеспечения производства,Английский язык,стажер службы технического обеспечения производства
573,First Line Manager (Brewing),Английский язык,first line manager (brewing)
574,Mars Internship Experience Program,,mars internship experience program
575,Global Management Trainee 2021,,global management trainee 2021
576,Стажерская программа: Академия Стальных Возможностей. Технические направления,,стажерская программа: академия стальных возможностей. технические направления
577,Стажерская программа: Академия Стальных Возможностей. IT направления,,стажерская программа: академия стальных возможностей. it направления
578,Стажерская программа: Академия Стальных Возможностей. Бизнес направления,,стажерская программа: академия стальных возможностей. бизнес направления
579,Graduate Programme 2021,,graduate programme 2021
580,Стажировка в Департаменте налогов и права,,стажировка в департаменте налогов и права
581,Стажер группы корпоративного налогообложения,,стажер группы корпоративного налогообложения
582,Участник программы развития Future Makers,Microsoft Word; Microsoft Powerpoint; Microsoft Excel,участник программы развития future makers
583,Стажер Future Leaders Program,Английский язык,стажер future leaders program
584,Unilever Leadership Internship Programme,Английский язык,unilever leadership internship programme
585,Стажер в CRM-команду Сбермаркет,Английский язык,стажер в crm-команду сбермаркет
586,Стажер направления по развитию цифровых технологий,Microsoft Excel; Microsoft Powerpoint,стажер направления по развитию цифровых технологий
587,Стажер в отдел маркетинга Сбермаркет,Английский язык,стажер в отдел маркетинга сбермаркет
588,Стажер в группу консультирования по вопросам заработной платы,Английский язык,стажер в группу консультирования по вопросам заработной платы
589,Стажер в группу подбора персонала,Английский язык,стажер в группу подбора персонала
590,Стажер в отдел обучения и развития персонала,Английский язык,стажер в отдел обучения и развития персонала
591,Стажер в группу оказания услуг частным клиентам,Английский язык,стажер в группу оказания услуг частным клиентам
592,Младший специалист в группу управления делами,Английский язык,младший специалист в группу управления делами
593,Ассистент отдела маркетинга,Microsoft Excel; Microsoft Powerpoint; Microsoft Word; SQL,ассистент отдела маркетинга
594,"Intern in Internal Audit, Risk and Compliance",Microsoft Excel; Microsoft Powerpoint; Microsoft Word; Английский язык,"intern in internal audit, risk and compliance"
595,Стажировка в QA в Работу.ру,Английский язык,стажировка в qa в работу.ру
596,Оплачиваемая стажировка Raiffeisen Evolve в регионах,,оплачиваемая стажировка raiffeisen evolve в регионах
597,Лидерская программа Unilever Future Leaders Programme (направление Finance),Английский язык,лидерская программа unilever future leaders programme (направление finance)
598,Лидерская программа Unilever Future Leaders Programme (направление HR),Английский язык,лидерская программа unilever future leaders programme (направление hr)
599,"Программа найма в СИБУР ""Первый элемент"" для химиков",Microsoft Word; Microsoft Excel,"программа найма в сибур ""первый элемент"" для химиков"
600,Лидерская программа Unilever Future Leaders Programme (направление Customer Development),Английский язык,лидерская программа unilever future leaders programme (направление customer development)
601,Лидерская программа (технические направления),Microsoft Word,лидерская программа (технические направления)
602,Лидерская программа Unilever Future Leaders Programme (направление Supply Chain),Английский язык,лидерская программа unilever future leaders programme (направление supply chain)
603,Mars Internship Experience Program (отдел маркетинга),Английский язык,mars internship experience program (отдел маркетинга)
604,Стажировка Sberseasons,Английский язык,стажировка sberseasons
605,Test Vacancy 2,сбор анализ информация различный сегмент рынок недвижимость подготовка соответствующий аналитический обзор; поиск анализ уточнение рыночный информация объект недвижимость различный сегмент рынок; осмотр подготовка описание объект оценка недвижимость; анализ клиентский информация документ объект оценка; участие подготовка отчет презентация коммерческий предложение,test vacancy 2
606,Test Vacancy — Стажер в группу оценки недвижимости,сбор анализ информация различный сегмент рынок недвижимость подготовка соответствующий аналитический обзор; поиск анализ уточнение рыночный информация объект недвижимость различный сегмент рынок; осмотр подготовка описание объект оценка недвижимость; анализ клиентский информация документ объект оценка; участие подготовка отчет презентация коммерческий предложение,test vacancy — стажер в группу оценки недвижимости
607,Младший специалист в Группу управления делами,работа первичный кадровый документация отношение сотрудник компания; внесение необходимый информация 1с; заполнение первичный форма справка основание предоставить информация запрос; оформление справка работа; работа база отпуск внесение информация корректирование факт использование отпуск; оформление графика отпуск согласно политика ey; lead отчетность подготовка выгрузка система; работа тендерный команда формирование пакет документ,младший специалист в группу управления делами
608,Координатор отдела аналитики и отчетности,Microsoft Excel; Microsoft Word,координатор отдела аналитики и отчетности
609,Fullstack-разработчик,C++; JavaScript; Английский язык; PHP,fullstack-разработчик
610,Консультант в направление охраны и труда,Английский язык,консультант в направление охраны и труда
611,Стажер в отделе исследования рынка потребителей,Английский язык,стажер в отделе исследования рынка потребителей
612,Координатор в отдел корпоративной стратегии,Английский язык,координатор в отдел корпоративной стратегии
613,Image recognition key user,Английский язык; Microsoft Excel,image recognition key user
614,Стажер в инжиниринге,Английский язык,стажер в инжиниринге
615,"Junior Consultant, Tax Financial Sector",Английский язык,"junior consultant, tax financial sector"
616,"Junior Consultant, Tax Management Services group",Английский язык,"junior consultant, tax management services group"
617,Стажер-разработчик в группу улучшения бизнес-технологий и IT (Frontend),Английский язык; Microsoft Excel,стажер-разработчик в группу улучшения бизнес-технологий и it (frontend)
618,Аналитик в группу проектного финансирования и инфраструктуры,Microsoft Excel; Microsoft Powerpoint; Microsoft Word; Английский язык,аналитик в группу проектного финансирования и инфраструктуры
619,Аналитик в группу проектного финансирования и инфраструктуры,Microsoft Excel; Microsoft Powerpoint; Microsoft Word; Английский язык,аналитик в группу проектного финансирования и инфраструктуры
620,Аналитик BI (MIS),SQL,аналитик bi (mis)
621,Младший кредитный аналитик,Microsoft Excel; Python; SQL; Английский язык,младший кредитный аналитик
622,Начинающий специалист аудита в банковском секторе,Microsoft Excel; Microsoft Powerpoint; Microsoft Word; Английский язык,начинающий специалист аудита в банковском секторе
623,Стажер в группу консультирования по управлению персоналом,Microsoft Excel; Microsoft Powerpoint; Microsoft Word; Английский язык,стажер в группу консультирования по управлению персоналом
624,Mars Internship Experience Program (юридический отдел),Английский язык,mars internship experience program (юридический отдел)
625,Консультант начального уровня департамента управления рисками,Microsoft Excel; Microsoft Powerpoint; Microsoft Word,консультант начального уровня департамента управления рисками
626,Стажер группы управления финансами и казначейством,Microsoft Excel; Microsoft Powerpoint; SQL; Английский язык,стажер группы управления финансами и казначейством
627,Ассистент юридического отдела,Английский язык; Microsoft Excel; Microsoft Powerpoint; Microsoft Word,ассистент юридического отдела
628,Бухгалтер по управлению дебиторской задолженностью,Английский язык; Microsoft Excel,бухгалтер по управлению дебиторской задолженностью
629,Стажер Data Scientist в группу улучшения бизнес-технологий и ИТ,Python; Английский язык,стажер data scientist в группу улучшения бизнес-технологий и ит
630,Стажер в отдел практики стратегического консультирования EY-Parthenon,Английский язык,стажер в отдел практики стратегического консультирования ey-parthenon
631,Лидерская программа (бизнес-направления),Английский язык,лидерская программа (бизнес-направления)
632,"Intern, Financial Services Advisory",Microsoft Excel; Microsoft Powerpoint; Английский язык,"intern, financial services advisory"
633,Менеджер по работе с ключевыми конечными клиентами,Microsoft Excel; Microsoft Powerpoint; Microsoft Word; SQL,менеджер по работе с ключевыми конечными клиентами
634,Специалист в группу обработки и анализа клиентских данных (CDHA),Microsoft Excel; Microsoft Powerpoint; Python; JavaScript; Английский язык,специалист в группу обработки и анализа клиентских данных (cdha)
635,"Стажер в группу актуарных расчетов, аудит",Microsoft Excel; Microsoft Access; Английский язык,"стажер в группу актуарных расчетов, аудит"
636,Стажер департамента управления рисками,Английский язык,стажер департамента управления рисками
637,Младший инженер,Microsoft Excel; Microsoft Powerpoint; Английский язык,младший инженер
638,Медицинский представитель,Microsoft Excel; Microsoft Powerpoint; Microsoft Word,медицинский представитель
639,Специалист по гражданской обороне и чрезвычайным ситуациям,Microsoft Excel; Microsoft Powerpoint; Microsoft Word,специалист по гражданской обороне и чрезвычайным ситуациям
640,Начальник смены,Microsoft Excel; Microsoft Powerpoint; Microsoft Word; Английский язык,начальник смены
641,Менеджер по работе с ключевыми заказчиками,Английский язык,менеджер по работе с ключевыми заказчиками
642,Менеджер по работе с ключевыми заказчиками,Английский язык,менеджер по работе с ключевыми заказчиками
643,Менеджер по работе с ключевыми заказчиками,Английский язык,менеджер по работе с ключевыми заказчиками
644,Начинающий разработчик в группу по оказанию услуг в секторе недвижимости и строительства,Microsoft Excel; Microsoft Powerpoint; Microsoft Word; Английский язык,начинающий разработчик в группу по оказанию услуг в секторе недвижимости и строительства
645,Специалист в группу стратегии управления капиталом и исследований рынков,Английский язык,специалист в группу стратегии управления капиталом и исследований рынков
646,Специалист в группу проектного финансирования и управление проектами в области строительства,Английский язык,специалист в группу проектного финансирования и управление проектами в области строительства
647,Стажер в группу оказания услуг организациям финансового сектора,Английский язык,стажер в группу оказания услуг организациям финансового сектора
648,Стажер в группу консультирования по вопросам косвенного налогообложения,Английский язык,стажер в группу консультирования по вопросам косвенного налогообложения
649,Разработчик,C++; SQL; HTML/CSS; JavaScript,разработчик
650,Business Analyst Intern,Английский язык; Microsoft Powerpoint,business analyst intern
651,Ведущий разработчик BI,SQL,ведущий разработчик bi
652,Дистанционный аналитик,Microsoft Excel; Microsoft Word; Microsoft Powerpoint,дистанционный аналитик
653,Data Science Intern,Python; Английский язык; SQL,data science intern
654,Технический ассистент,Microsoft Excel; SQL,технический ассистент
655,Менеджер проектов,Английский язык; Microsoft Powerpoint,менеджер проектов
656,"Trainee, Market Research, Forensic Department",Английский язык; Microsoft Powerpoint; Microsoft Excel,"trainee, market research, forensic department"
657,Audit Assistant,Microsoft Excel; Microsoft Powerpoint; Microsoft Word; Английский язык,audit assistant
658,Junior Front-end разработчик,HTML/CSS; JavaScript,junior front-end разработчик
659,"Intern, Financial Risk Management",Английский язык; Microsoft Excel,"intern, financial risk management"
660,Ведущий аналитик отдела технологий больших данных,SQL; Python,ведущий аналитик отдела технологий больших данных
661,Бизнес-аналитик управления автоматизации рисков,SQL,бизнес-аналитик управления автоматизации рисков
662,Senior разработчик Java,Java; SQL,senior разработчик java
663,Business Analyst,Английский язык,business analyst
664,PE Solution Sales Engagement Internship,Английский язык; Microsoft Powerpoint; Microsoft Excel,pe solution sales engagement internship
665,"Intern, IT Advisory, IT Audit",Английский язык,"intern, it advisory, it audit"
666,Intern for Compliance Department,Английский язык; Microsoft Excel; Microsoft Powerpoint,intern for compliance department
667,Services Account Manager Intern (Consulting Sales),Английский язык; Microsoft Word; Microsoft Excel,services account manager intern (consulting sales)
668,Working Student Services Marketing MEE Job,Английский язык; Microsoft Word; Microsoft Excel,working student services marketing mee job
669,Ведущий эксперт отдела исследований и моделирования. Казначейство,Python; SQL,ведущий эксперт отдела исследований и моделирования. казначейство
670,Аналитик партнерств и международного бизнеса,SQL,аналитик партнерств и международного бизнеса
671,Специалист по продажам,Microsoft Word,специалист по продажам
672,Аналитик,Microsoft Powerpoint; Английский язык,аналитик
673,Консультант,Английский язык,консультант
674,Старший специалист,SQL,старший специалист
675,Старший специалист технической поддержки,SQL,старший специалист технической поддержки
676,Трафик менеджер (интернет маркетолог),Microsoft Excel; Microsoft Powerpoint,трафик менеджер (интернет маркетолог)
677,Портфельный риск-менеджер,Microsoft Excel; SQL,портфельный риск-менеджер
678,Support engineer,C++,support engineer
679,Support engineer,C++; Английский язык,support engineer
680,Стажер в отдел финансового контроллинга,Microsoft Excel; Microsoft Powerpoint; Microsoft Access; Английский язык,стажер в отдел финансового контроллинга
681,Специалист по управлению категориями (food),Microsoft Excel,специалист по управлению категориями (food)
682,Ассистент отдела маркетинга,1C; Microsoft Excel; Microsoft Powerpoint; Microsoft Word,ассистент отдела маркетинга
683,Специалист по продажам (инвестиционные продукты),Microsoft Word,специалист по продажам (инвестиционные продукты)
684,Стажер в финансовую дирекцию,Microsoft Excel; Microsoft Powerpoint; SQL,стажер в финансовую дирекцию
685,Стажер (Дирекция розничных продаж),Microsoft Excel; Microsoft Powerpoint; Microsoft Word,стажер (дирекция розничных продаж)
686,Стажер (IT-рекрутмент),HTML/CSS,стажер (it-рекрутмент)
687,Стажер в группу по работе с молодыми специалистами в Департамент по работе с персоналом,Microsoft Excel; Английский язык,стажер в группу по работе с молодыми специалистами в департамент по работе с персоналом
688,Специалист по обслуживанию клиентов,Microsoft Word; Microsoft Powerpoint,специалист по обслуживанию клиентов
689,Специалист отдела дистанционных продаж,Microsoft Word; Microsoft Excel,специалист отдела дистанционных продаж
690,"Intern, Financial Crime services (Forensic)",Microsoft Word; Microsoft Excel; Microsoft Powerpoint; Английский язык,"intern, financial crime services (forensic)"
691,"Consultant, Internal Audit, Risk and Compliance Services Group",Английский язык; Microsoft Excel; Microsoft Powerpoint,"consultant, internal audit, risk and compliance services group"
692,Ассистент отдела закупок,1C; Microsoft Excel,ассистент отдела закупок
693,Специалист по работе с клиентами,Microsoft Excel; Microsoft Word; Microsoft Powerpoint,специалист по работе с клиентами
694,Консультант по интеграции,SQL,консультант по интеграции
695,Стажер в отдел маркетинга,Adobe Illustrator,стажер в отдел маркетинга
696,Консультант поддержки портальных решений,php; SQL,консультант поддержки портальных решений
697,Тестировщик,HTML/CSS; JavaScript; Python,тестировщик
698,"Стажировка в Mars для студентов, 9 направлений",Английский язык,"стажировка в mars для студентов, 9 направлений"
699,Fullstack Developer,XML (XSD); JSON,fullstack developer
700,Java-разработчик,Java; SQL,java-разработчик
701,Стажер в блок по коммуникациям и устойчивому развитию,Adobe Illustrator; Microsoft Word,стажер в блок по коммуникациям и устойчивому развитию
702,Стажер в блок по развитию корпоративного бизнеса,Adobe Illustrator; Microsoft Word,стажер в блок по развитию корпоративного бизнеса
703,Brand Manager,Microsoft Powerpoint; Microsoft Excel; Английский язык,brand manager
704,Junior Design Leader,Microsoft Word,junior design leader
705,Junior Investment Advisor,Microsoft Powerpoint; Microsoft Excel; Английский язык,junior investment advisor
706,Младший консультант IT-поддержки товародвижения,SQL,младший консультант it-поддержки товародвижения
707,Стажер в блок по развитию инфраструктуры,Microsoft Excel; Microsoft Powerpoint; Microsoft Word,стажер в блок по развитию инфраструктуры
708,Системный аналитик,SQL; Английский язык,системный аналитик
709,Специалист технической поддержки,HTML/CSS,специалист технической поддержки
710,Стажер (Аудит IT-процессов),SQL; Microsoft Excel,стажер (аудит it-процессов)
711,Стажер (Engineering & Manufacturing),Английский язык,стажер (engineering & manufacturing)
712,Стажер (Logistic),Английский язык,стажер (logistic)
713,HR-менеджер,Английский язык,hr-менеджер
714,Стажер в группу по консультированию в сфере IT,Английский язык,стажер в группу по консультированию в сфере it
715,"Junior Consultant, Digital CFO Group, Management Consulting",SQL,"junior consultant, digital cfo group, management consulting"
716,"Intern, Real Estate Advisory (Valuation and Сonsulting)",Английский язык; SQL,"intern, real estate advisory (valuation and сonsulting)"
717,"Intern (Fraud Investigations Group, Forensic Department)",Английский язык; Microsoft Excel,"intern (fraud investigations group, forensic department)"
718,Стажер-аналитик,Microsoft Excel,стажер-аналитик
719,Trade Marketing Intern,Microsoft Excel,trade marketing intern
720,Process Engineer,Английский язык,process engineer
721,"Intern (Financial Advisory Services, Management Consulting)",Microsoft Excel; Microsoft Powerpoint; Английский язык,"intern (financial advisory services, management consulting)"
722,"Intern, Deal Strategy Group",Microsoft Excel; Microsoft Powerpoint; Английский язык,"intern, deal strategy group"
723,Full Stack Software Engineer,Python; JavaScript; SQL,full stack software engineer
724,Finance Intern,Microsoft Excel; Microsoft Powerpoint; Английский язык,finance intern
725,Marketing Intern,Английский язык; Microsoft Excel; Microsoft Powerpoint,marketing intern
726,"Intern/Junior Consultant, Tax&Legal consulting, Corporate Tax group",Microsoft Excel,"intern/junior consultant, tax&legal consulting, corporate tax group"
727,"Intern, Financial Risk Management Group (Modelling)",Microsoft Word; Microsoft Excel; Microsoft Powerpoint; Английский язык,"intern, financial risk management group (modelling)"
728,Аналитик BI (РСБУ),SQL,аналитик bi (рсбу)
729,Технический специалист лидерской программы,Microsoft Word,технический специалист лидерской программы
730,"Data Science Intern, Deal Advisory, Data & Solutions team",Microsoft Excel; Английский язык,"data science intern, deal advisory, data & solutions team"
731,"Intern, Financial Crime Group, Forensic Services",SQL; Microsoft Excel; Английский язык,"intern, financial crime group, forensic services"
732,Участник программы ученичества Aggreko Apprenticeship Program,Microsoft Word,участник программы ученичества aggreko apprenticeship program
733,Стажер в IT-отделе,Английский язык; Microsoft Excel,стажер в it-отделе
734,Стажер в отдел бухгалтерии,Microsoft Word; Microsoft Excel,стажер в отдел бухгалтерии
735,Аналитик,Microsoft Excel; SQL,аналитик
736,Микробиолог,Microsoft Access; Microsoft Word,микробиолог
737,Стажер/Младший консультант (практика по работе с клиентами энергетики и ЖКХ),Microsoft Excel,стажер/младший консультант (практика по работе с клиентами энергетики и жкх)
738,"Consultant (People Services, Payroll projects, Tax and Legal)",Microsoft Excel; Microsoft Powerpoint; Английский язык,"consultant (people services, payroll projects, tax and legal)"
739,Стажер в отдел закупок,Microsoft Excel; Microsoft Word,стажер в отдел закупок
740,Senior Compliance Specialist — CIS Technology Services,Microsoft Excel; SQL,senior compliance specialist — cis technology services
741,Associate Consultant,Microsoft Excel; Microsoft Powerpoint,associate consultant
742,Стажировка I Choose Alfa,Microsoft Excel; Microsoft Word,стажировка i choose alfa
743,Специалист по календарно-сетевому планированию,Microsoft Excel,специалист по календарно-сетевому планированию
744,Стажер IT-департамента (Разработчик),C#; SQL; Английский язык,стажер it-департамента (разработчик)
745,Стажер IT-департамента (Разработчик),C#,стажер it-департамента (разработчик)
746,Стажер IT-департамента (Аналитик),C#; SQL,стажер it-департамента (аналитик)
747,Стажер IT-департамента (Аналитик),C#; SQL,стажер it-департамента (аналитик)
748,Инженер-проектировщик по программе «Молодой специалист»,Microsoft Word; Microsoft Excel,инженер-проектировщик по программе «молодой специалист»
