,position,skills,position_lower
28,Java Developer,разработка решение бизнес потребность возможность дальнейший переиспользование sdk api messaging; участие развитие платформа предложение архитектура тестирование автоматизация поставка; локальный исследование r d необходимость применение хороший практика требование; опыт коммерческий разработка 1 год java 8 выше; hibernate liquibase; java 8 11; java 8 collections io; multithreading synchronization javautilconcurrent; postgresql; kafka; hazelcast; netflix eureka zuul microservices; elasticsearch; docker; kubernetes; git; maven; linux,java developer
29,Data engineer (удаленно),анализ требование витрина данные взаимодействие владелец продукт bi разработчик data scientist ами; поиск исследование источник данные последующий интеграция; оценка пригодность качество исходный данные; разработка etl процесс spark; оркестрация etl процесс airflow; проектирование база данные; создание конвейер данные nifi требование; работа команда; опыт работа 1 год такой область коммуникационный технология безопасность маркетинг продажа финансы; знание sql высокий уровень так ч ddl табличный выражение оконный функция; опыт работа hive postgresql; разработка etl процесс spark scala потоковый обработка преимущество; пользование airflow другой оркестратор; oozie luigi cron; умение писать python; объем пользоваться airflow крутой; опыт потоковый разработка конвейер данные nifi flink; интересовать flink опыт применение проект; умение проектировать база данные знать data vault 20 например; понимание принцип работа реляционный субд hdfs; иметь представление колоночный nosql субд; понимание подход работа качество данные,data engineer (удаленно)
30,Manifactuting Internship,,manifactuting internship
31,Стажер в департаменте аудиторских услуг,взаимодействие сотрудник компания клиент цель сбор необходимый информация; создание ведение аудиторский файл; подготовка сводный другой документ требование; выпускник бакалавриат магистратура 2022 2023 год специализация область финансы экономика бухгалтерский учет технический специальность; владение английский язык уровень intermediate выше; отличный владение пк программа ms word excel powerpoint; высокий уровень мотивация желание начать карьера область оказание профессиональный услуга; инициативность; позитивный отношение работа; желание учиться; внимание деталь точность работа; интерес различный сфера аудиторский деятельность,стажер в департаменте аудиторских услуг
32,Системный аналитик / интерн,проектировать разрабатывать внедрять решение поддерживать бизнес процесс клиент разный индустрия; выполнять работа проектирование приложение например написание функциональный дизайн проектирование пользовательский интерфейс тестирование юзабилить; создание функциональный требование качество входной данные разработка приложение; документирование бизнес требование; помощь построение тестирование развертывание требование; 32 час неделя полный рабочий день; образование it математический технический специальность; интересный информационный технология; аналитический мышление; высокий уровень владение английский язык; желательно владение sql; знание язык программирование преимущество; понимание работа финансовый индустрия преимущество,системный аналитик / интерн
33,Intern / Analyst Strategy,участие проект стратегический консалтинг бизнес клиент индустрия нефть газ металлургия fmcg ритейл фарма банк; проведение отраслевой клиентский исследование анализ рамка проект стратегический консалтинг; сбор документирование бизнес процесс требование клиент; содействие разработка новый бизнес процесс возможность вспомогательный технология; создание проектный документация; поддержка тестирование внедрение новый бизнес процесс; участие подготовка проектный отчет документ использовать внутрикорпоративный стандарт требование; студент магистратура недавно закончить обучение вуз направление обучение it математический технический специальность преимущество; готовый совмещать работа учеба работать 32 час неделя работать полный рабочий день; знать английский язык уровень ниже upper intermediate выше; иметь отличный теоретический практический навык полгода it сфера; знание язык программирование приветствоваться,intern / analyst strategy
34,Junior Engineer,повышение эффективность производственный линия; устранение сбой работа производственный оборудование применение инженерный подход; снижение потеря область оее качество использование инструмент бережливый производство; разработка внедрение стандарт производство требование; закончить высокий технический образование студент последний курс; готовность работать условие полный рабочий день 40 час неделя; английский язык уровень intermediate; владение офисный программа ms office,junior engineer
35,HR-Trainee / HR-Стажер,поддержка процесс оценка персонал 360; консолидирование информация потребность сотрудник обучение; осуществление поиск потенциальный провайдер нужда обучение сотрудник участие отбор; участие создание программа обучение; помощь организация мероприятие; администрирование e learning портал eduson sales academy база webtutor; участие создание релиз контент онлайн курс видео курс тест; осуществление административный поддержка функция согласование договор контроль оплата счет тп; поддержка развитие геймификация мотивационный программа «лига чемпион pvm»; участие создание аналитик позволять оценивать динамика ключевой l d метрика требование; студент последний курс бакалавриат магистратура; готовность работать 52; желание развивать карьера область talent management learning development; английский язык уровень intermediate выше; эксперт область визуализация данные современный презентация power point использование новый платформа создание визуала; наличие опыт создание контентапроведение обучение работа платформа webtutor редактор курс articulateispring твой преимущество,hr-trainee / hr-стажер
36,SALES INTERNSHIP - EASTERN SIBERIA,,sales internship - eastern siberia
37,SALES INTERNSHIP - EASTERN SIBERIA,,sales internship - eastern siberia
38,SALES INTERNSHIP - EASTERN SIBERIA,,sales internship - eastern siberia
39,SALES INTERNSHIP - EASTERN SIBERIA,,sales internship - eastern siberia
40,Sales account manager (far East),,sales account manager (far east)
41,Sales account manager (far East),,sales account manager (far east)
42,Sales internship (far East),,sales internship (far east)
43,Sales internship (far East),,sales internship (far east)
44,Brand Manager,,brand manager
45,System Analyst,участие крупный проект внедрение хранилище данные dwh разработка витрина data marts накопление управление данные компания различный сектор банк страховой телек ритейл производство металлургия; сбор анализ информация проект; исследование источник данные формирование требование выгрузка данные; формализация бизнес требование технический требование; проектирование архитектура данные участие принятие архитектурный решение; проектирование описание процесс преобразование данные etl загрузка; описание задача сервис сопровождать etl загрузка очередь сообщение restapi soap; моделирование процесс структура данные использование bpmn uml idef; постановка задача разработчик декомпозиция крупный задача отдельный шаг; подготовка тестовый сценарий участие функциональный тестирование; написание проектный документация требование; опыт работа аналитик dwh etl иить разработчик dwh 2 х год; работа команда методология аналитик разработчик тестировщик; знание etl инструмент фреймворк общий подход процесс etl; знание sql postgresql оконный функция; опыт работа различный реляционный субд; базовый понимание технология интеграция приложение очередь сообщение web сервис; опыт написание технический проектный документация функциональный требование описание реализация составление тестовый сценарий; знание нотация принцип моделирование bpmn uml idef; умение работать средство моделирование; ms visio drawio edraw; навык ведение проект jira confluence; технический английский язык уровень чтенияпонимания документация,system analyst
